Cryptocurrency,Amount,Transaction Type,Confirmed At
BTC,0.03475067,BIA Withdraw,2022-03-11 17:20:56
BTC,0.00011704,Interest Payment,2022-02-28 23:59:59
BTC,0.00012896,Interest Payment,2022-01-31 23:59:59
BTC,0.00012865,Interest Payment,2021-12-31 23:59:59
BTC,0.00012390,Interest Payment,2021-11-30 23:59:59
BTC,0.00012772,Interest Payment,2021-10-31 23:59:59
BTC,0.00012300,Interest Payment,2021-09-30 23:59:59
BTC,0.00011284,Interest Payment,2021-08-31 23:59:59
BTC,0.00011253,Interest Payment,2021-07-31 23:59:59
BTC,0.00013500,Interest Payment,2021-06-30 23:59:59
BTC,0.00013888,Interest Payment,2021-05-31 23:59:59
BTC,0.00015990,Interest Payment,2021-04-30 23:59:59
BTC,0.00015741,Interest Payment,2021-03-31 23:59:59
BTC,0.01494955,Crypto Transfer,2021-03-03 16:26:39
BTC,0.00008120,Interest Payment,2021-02-28 23:59:59
BTC,0.00005599,Interest Payment,2021-01-31 23:59:59
BTC,0.01000000,Crypto Transfer,2021-01-21 23:45:58
BTC,0.00003968,Interest Payment,2020-12-31 23:59:59
BTC,0.00003810,Interest Payment,2020-12-01 04:59:59
BTC,0.00002032,Interest Payment,2020-11-01 03:59:59
BTC,0.00800000,Crypto Transfer,2020-10-15 14:26:54
