portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,564209,NMR-USD,SELL,2020-11-01T23:50:06.874Z,0.84900000,NMR,23.2808,0.098826996,19.666572204,USD
default,628320,MKR-USD,BUY,2020-09-14T19:18:49.151Z,0.06955300,MKR,500.7056,0.174127882984,-34.999704479784,USD
default,691857,UNI-USD,BUY,2020-09-25T17:33:49.777Z,1.15646700,UNI,5.1624,0.029850726204,-5.999995967004,USD
default,773604,DAI-USD,BUY,2020-09-15T07:24:27.824Z,25.00000000,DAI,1.027,0.128375,-25.803375,USD
default,849922,YFI-USD,BUY,2020-10-16T18:07:05.257Z,0.00177500,YFI,14011.97,0.12435623375,-24.99560298375,USD
default,1255622,YFI-USD,SELL,2020-10-30T15:47:52.698Z,0.00177500,YFI,10981.95,0.09746480625,19.39549644375,USD
default,1259541,UNI-USD,BUY,2020-10-16T18:10:40.474Z,1.93791900,UNI,3.0807,0.0298507353165,-5.9999977986165,USD
default,1297217,UNI-USD,BUY,2020-10-19T23:28:27.143Z,12.00000000,UNI,3.1506,0.189036,-37.996236,USD
default,1485453,UNI-USD,SELL,2020-11-02T18:44:34.938Z,14.90576800,UNI,2.2659,0.168874898556,33.606104812644,USD
default,1961792,ATOM-USD,BUY,2020-10-19T21:37:24.461Z,6.30000000,ATOM,5.526,0.174069,-34.987869,USD
default,2444624,EOS-USD,SELL,2020-10-30T15:52:18.449Z,2.80000000,EOS,2.51,0.03514,6.99286,USD
default,2493082,BTC-USDC,BUY,2020-09-10T17:39:33.526Z,0.00479457,BTC,10376.57,0.2487559561245,-49.9999471810245,USDC
default,2496844,BTC-USDC,BUY,2020-09-11T18:08:08.061Z,0.00723725,BTC,10311.49,0.3731341550125,-74.9999651575125,USDC
default,2600216,KNC-USD,BUY,2020-09-14T19:15:33.463Z,71.30000000,KNC,1.1857,0.42270205,-84.96311205,USD
default,4451393,BAT-USDC,BUY,2020-09-13T10:09:43.449Z,100.00000000,BAT,0.26,0.13,-26.13,USDC
default,4467249,BAT-USDC,BUY,2020-09-17T00:07:36.664Z,30.00000000,BAT,0.25,0.0375,-7.5375,USDC
default,4510399,BAT-USDC,SELL,2020-09-25T17:21:38.317Z,15.00000000,BAT,0.232627,0.017447025,3.471957975,USDC
default,4545334,ZRX-USD,BUY,2020-09-14T19:22:39.773Z,62.36484000,ZRX,0.478647,0.1492537178574,-29.9999972893374,USD
default,5533893,OXT-USD,SELL,2020-10-30T15:49:56.339Z,74.00000000,OXT,0.2066,0.076442,15.211958,USD
default,5562901,UNI-USD,BUY,2021-02-12T16:36:32.771Z,3.70433000,UNI,22.8337,0.422917799605,-85.006477720605,USD
default,5988983,XTZ-USD,BUY,2020-10-19T21:02:05.617Z,8.80000000,XTZ,2.1912,0.0964128,-19.3789728,USD
default,5988984,XTZ-USD,BUY,2020-10-19T21:02:06.999Z,3.20000000,XTZ,2.1912,0.0350592,-7.0468992,USD
default,5999317,XTZ-USD,BUY,2020-10-20T18:54:53.524Z,7.16000000,XTZ,2.0822,0.07454276,-14.98309476,USD
default,10516319,ETH-BTC,BUY,2020-09-15T22:17:37.214Z,0.58842371,ETH,0.03382,0.000099502449361,-0.019999992321561,BTC
default,10517730,ETH-BTC,BUY,2020-09-16T02:36:30.058Z,0.59213486,ETH,0.03344,0.000099004948592,-0.019899994666992,BTC
default,10517733,ETH-BTC,SELL,2020-09-16T02:37:03.012Z,1.00000000,ETH,0.03342,0.0001671,0.0332529,BTC
default,13759893,MKR-USD,SELL,2022-01-12T20:52:31.084Z,0.07829100,MKR,2165.63,0.84774669165,168.70159163835,USD
default,14233675,XRP-USD,SELL,2020-10-30T15:39:38.361Z,50.00000000,XRP,0.2381,0.059525,11.845475,USD
default,14233676,XRP-USD,SELL,2020-10-30T15:39:38.361Z,209.83820900,XRP,0.238,0.24970746871,49.69178627329,USD
default,18029476,ZRX-USD,SELL,2022-01-12T21:00:19.279Z,57.68090000,ZRX,0.752327,0.2169744922715,43.1779239620285,USD
default,19732053,COMP-USD,SELL,2022-01-12T21:00:03.110Z,0.02900000,COMP,197.25,0.02860125,5.69164875,USD
default,21215408,UNI-USD,SELL,2022-01-12T20:55:18.955Z,3.30377500,UNI,16.34,0.2699184175,53.7137650825,USD
default,24227442,XTZ-USD,SELL,2022-01-12T21:09:42.375Z,42.31000000,XTZ,4.36,0.922358,183.549242,USD
default,45438714,LINK-USD,SELL,2022-01-12T20:52:54.905Z,10.61000000,LINK,26.77,1.4201485,282.6095515,USD
default,47204764,LTC-USD,SELL,2020-11-02T01:49:57.085Z,0.71562885,LTC,56.47,0.2020578057975,40.2095033537025,USD
default,62014855,XLM-USD,SELL,2022-01-12T20:51:56.409Z,125.00000000,XLM,0.288432,0.18027,35.87373,USD
default,63914177,ETH-USD,BUY,2020-09-11T17:18:27.940Z,0.04800000,ETH,365.5,0.08772,-17.63172,USD
default,63957227,ETH-USD,SELL,2020-09-12T20:27:29.163Z,0.07000000,ETH,384.66,0.134631,26.791569,USD
default,64049680,ETH-USD,SELL,2020-09-14T18:59:15.662Z,0.01329001,ETH,375.5,0.024951993775,4.965446761225,USD
default,64049681,ETH-USD,SELL,2020-09-14T18:59:15.725Z,0.19896534,ETH,375.5,0.37355742585,74.33792774415,USD
default,64376274,ETH-USD,BUY,2020-09-21T09:46:32.171Z,0.12345600,ETH,360,0.2222208,-44.6663808,USD
