DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Tue Oct 20 2020 09:43:04 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.022,BTC,e32b7e08f4df87b3876c0586454d9f621b8b8eda057cbb6c702a425937381a8b,https://mempool.space/tx/e32b7e08f4df87b3876c0586454d9f621b8b8eda057cbb6c702a425937381a8b,,
Tue Oct 20 2020 09:50:28 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.24785835,ETH,0x3195c8c881cadd51274d5b0dc623e63d77bb64f8ef60463c577174af5fc35a63,https://etherscan.io/tx/0x3195c8c881cadd51274d5b0dc623e63d77bb64f8ef60463c577174af5fc35a63,,
Tue Oct 20 2020 10:07:05 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.02,BTC,f7c5ed39ef757232162069cf8a0d265d3294127fa007234995c5732a438ef8f0,https://mempool.space/tx/f7c5ed39ef757232162069cf8a0d265d3294127fa007234995c5732a438ef8f0,,
Tue Oct 20 2020 10:11:05 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,6.67048949,LINK,0x7172ff39fa6665e4a0c7c752b6762d5a37567e0433e87719c0949159497dc860,https://etherscan.io/tx/0x7172ff39fa6665e4a0c7c752b6762d5a37567e0433e87719c0949159497dc860,,
Tue Oct 20 2020 10:11:48 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,32.956798,XTZ,oo8dwmpTvUqJc2rWoLcfKdDqrQrP9Hxt93rsTPxsuac4bjuAmvU,https://tzstats.com/operation/oo8dwmpTvUqJc2rWoLcfKdDqrQrP9Hxt93rsTPxsuac4bjuAmvU,,
Tue Oct 20 2020 10:13:48 GMT-0700 (Pacific Daylight Time),withdrawal,exodus_0,,0,XTZ,-0.00142,XTZ,tz1aRoaRhSpRYvFdyvgWLL6TGyRoGF51wDjM,opSHK8w3WPK9M4aNZ3QtZtLx69AJMg45UbZ1kD9Q7PwAvmVxVar,https://tzstats.com/operation/opSHK8w3WPK9M4aNZ3QtZtLx69AJMg45UbZ1kD9Q7PwAvmVxVar,,,,,,
Tue Oct 20 2020 10:41:06 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,0.00846759,BTC,3b4b2ceb98da33b3b2cc902c4f41056fc20bb3e1cc86c1d03fab6e785ff568fc,https://mempool.space/tx/3b4b2ceb98da33b3b2cc902c4f41056fc20bb3e1cc86c1d03fab6e785ff568fc,,
Tue Oct 20 2020 10:41:20 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,15.1,DAI,0x2be5cdb9afb0abb3257e025511542e44e2d925c457cf0ca5b84a3af705e7771c,https://etherscan.io/tx/0x2be5cdb9afb0abb3257e025511542e44e2d925c457cf0ca5b84a3af705e7771c,,
Tue Oct 20 2020 10:41:54 GMT-0700 (Pacific Daylight Time),deposit,,exodus_0,,,,,,,,728.71954486,CDAI,0xaee5bfa1974f441904ccf9ba0041a0286aed734b06136cb49a2c77c96ab04934,https://etherscan.io/tx/0xaee5bfa1974f441904ccf9ba0041a0286aed734b06136cb49a2c77c96ab04934,,
Tue Oct 20 2020 10:41:54 GMT-0700 (Pacific Daylight Time),withdrawal,exodus_0,,-15.1,DAI,-0.031229495,ETH,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0xaee5bfa1974f441904ccf9ba0041a0286aed734b06136cb49a2c77c96ab04934,https://etherscan.io/tx/0xaee5bfa1974f441904ccf9ba0041a0286aed734b06136cb49a2c77c96ab04934,,,,,,
