Transaction,Type,Currency,Amount,USD Equivalent,Details,Outstanding Loan,Date / Time
NXTqWpnDdZK3e,Withdrawal,BTC,-0.02430900,$939.74678960192,approved / BTC withdrawal,$0.00,2022-03-11 18:26:38
NXTTrCDMlxSJH,Interest,BTC,0.00000325,$0.12,approved / BTC Interest Earned,$0.00,2022-03-11 07:00:06
NXTbId5Ihe5nZ,Interest,NEXONEXO,0.04150143,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-11 07:00:06
NXTpWZxaBlhMk,Interest,NEXONEXO,0.04149374,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-10 07:00:06
NXTCOHnsgnkmX,Interest,BTC,0.00000325,$0.12,approved / BTC Interest Earned,$0.00,2022-03-10 07:00:06
NXTtTrN17Cu87,Interest,NEXONEXO,0.04148605,$0.09,approved / NEXO Interest Earned,$0.00,2022-03-09 07:00:06
NXTpSUaKB0cdj,Interest,BTC,0.00000325,$0.13,approved / BTC Interest Earned,$0.00,2022-03-09 07:00:06
NXTlUt4sg4gpl,Interest,NEXONEXO,0.04147836,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-08 07:00:06
NXT2XE11VvQfz,Interest,BTC,0.00000325,$0.12,approved / BTC Interest Earned,$0.00,2022-03-08 07:00:06
NXTavaoJCy0Mb,Interest,NEXONEXO,0.04147067,$0.07,approved / NEXO Interest Earned,$0.00,2022-03-07 07:00:06
NXTz77lBbotQf,Interest,BTC,0.00000325,$0.12,approved / BTC Interest Earned,$0.00,2022-03-07 07:00:06
NXTZk5hHL58xr,Interest,BTC,0.00000325,$0.12,approved / BTC Interest Earned,$0.00,2022-03-06 07:00:06
NXT6oG43RFalp,Interest,NEXONEXO,0.04146299,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-06 07:00:06
NXTJ83r49aV5r,Interest,NEXONEXO,0.04145530,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-05 07:00:06
NXTacposV4Hq6,Interest,BTC,0.00000325,$0.12,approved / BTC Interest Earned,$0.00,2022-03-05 07:00:06
NXTW0291oge05,Interest,NEXONEXO,0.04144762,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-04 07:00:06
NXTv9FsKVw5uP,Interest,BTC,0.00000325,$0.13,approved / BTC Interest Earned,$0.00,2022-03-04 07:00:06
NXTCtA2qI5M5h,Interest,BTC,0.00000325,$0.14,approved / BTC Interest Earned,$0.00,2022-03-03 07:00:05
NXTYN9JbeYnJe,Interest,NEXONEXO,0.04143994,$0.08,approved / NEXO Interest Earned,$0.00,2022-03-03 07:00:05
NXTbtHtXrvEwg,Interest,BTC,0.00000325,$0.14,approved / BTC Interest Earned,$0.00,2022-03-02 07:00:06
