Event,Date,Timezone,Status,USD,Unit Count,Asset Type,BTC Price,Fee USD
prepaid_fee,2020-11-17 17:32:06+00,UTC,settled,,,,,29.06
deposit,2020-11-17 17:32:06+00,UTC,settled,75.00,,USD,,0.00
purchase,2020-11-28 00:00:00+00,UTC,settled,75.00,0.00437499,BTC,17142.90,
deposit,2020-12-01 12:50:07+00,UTC,settled,75.00,,USD,,0.00
purchase,2020-12-14 04:27:02+00,UTC,settled,75.00,0.00392546,BTC,19106.04,
deposit,2020-12-15 12:00:04+00,UTC,settled,75.00,,USD,,0.00
purchase,2020-12-25 12:12:32+00,UTC,settled,75.00,0.00305977,BTC,24511.65,
deposit,2020-12-28 00:30:54+00,UTC,settled,10.00,,USD,,0.00
purchase,2020-12-28 00:30:54+00,UTC,settled,10.00,0.00037450,BTC,26702.27,
deposit,2021-01-01 12:00:01+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-01-11 12:12:51+00,UTC,settled,75.00,0.00223221,BTC,33598.99,
deposit,2021-01-15 12:00:01+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-01-25 12:18:31+00,UTC,settled,75.00,0.00224106,BTC,33466.31,
deposit,2021-02-01 12:00:01+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-02-11 12:13:15+00,UTC,settled,75.00,0.00161479,BTC,46445.67,
deposit,2021-02-15 12:00:08+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-02-25 12:14:17+00,UTC,settled,75.00,0.00149095,BTC,50303.50,
deposit,2021-03-01 12:00:04+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-03-11 12:13:20+00,UTC,settled,75.00,0.00133747,BTC,56076.02,
deposit,2021-03-15 12:00:03+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-03-25 12:13:12+00,UTC,settled,75.00,0.00145996,BTC,51371.27,
deposit,2021-04-01 12:00:04+00,UTC,settled,75.00,,USD,,0.00
purchase,2021-04-11 12:13:07+00,UTC,settled,75.00,0.00125888,BTC,59576.77,
deposit,2021-04-15 12:00:04+00,UTC,settled,100.00,,USD,,0.00
purchase,2021-04-15 12:13:06+00,UTC,settled,100.00,0.00159879,BTC,62547.30,
deposit,2021-05-01 12:00:05+00,UTC,settled,100.00,,USD,,0.00
purchase,2021-05-01 13:01:02+00,UTC,settled,100.00,0.00172925,BTC,57828.54,
deposit,2021-05-15 12:00:08+00,UTC,settled,100.00,,USD,,0.00
